UserId,ProdId,ProdName,Rating
1,4.065E+11,Veg-Q,-3.139852524
1,5.88838E+11,Veg-K,-3.139852524
1,7.07883E+11,Veg-R,-3.139852524
1,8.21956E+11,Veg-P,-3.139852524
1,8.77482E+11,Veg-Q,-3.139852524
1,9.19285E+11,Veg-C,-3.139852524
3,1.98199E+11,Veg-R,-3.139852524
3,6.87311E+11,Veg-C,-3.139852524
5,1.98199E+11,Veg-G,-3.139852524
5,6.87311E+11,Veg-C,-3.139852524
7,4.065E+11,Veg-A,-3.139852524
7,5.88838E+11,Veg-E,-3.139852524
7,7.07883E+11,Veg-B,-3.139852524
7,8.21956E+11,Veg-I,-3.139852524
7,8.77482E+11,Veg-D,-3.139852524
7,9.19285E+11,Veg-D,-3.139852524
9,4.065E+11,Veg-E,-3.139852524
9,5.88838E+11,Veg-E,-3.139852524
9,7.07883E+11,Veg-E,-3.139852524
9,8.21956E+11,Veg-D,-3.139852524
9,8.77482E+11,Veg-C,-3.139852524
9,9.19285E+11,Veg-M,-3.139852524
11,4.065E+11,Veg-B,-3.139852524
11,5.88838E+11,Veg-J,-3.139852524
11,7.07883E+11,Veg-A,-3.139852524
11,8.21956E+11,Veg-C,-3.139852524
11,8.77482E+11,Veg-E,-3.139852524
11,9.19285E+11,Veg-P,-3.139852524
12,4.065E+11,Veg-M,-3.139852524
12,5.88838E+11,Veg-K,-3.139852524
12,7.07883E+11,Veg-P,-3.139852524
12,8.21956E+11,Veg-O,-3.139852524
12,8.77482E+11,Veg-I,-3.139852524
12,9.19285E+11,Veg-A,-3.139852524
14,4.065E+11,Veg-J,-3.139852524
14,5.88838E+11,Veg-S,-3.139852524
14,7.07883E+11,Veg-K,-3.139852524
14,8.21956E+11,Veg-G,-3.139852524
14,8.77482E+11,Veg-H,-3.139852524
14,9.19285E+11,Veg-K,-3.139852524
15,1.98199E+11,Veg-C,-3.139852524
15,6.87311E+11,Veg-D,-3.139852524
16,4.065E+11,Veg-R,-3.139852524
16,5.88838E+11,Veg-K,-3.139852524
16,7.07883E+11,Veg-E,-3.139852524
16,8.21956E+11,Veg-R,-3.139852524
16,8.77482E+11,Veg-F,-3.139852524
16,9.19285E+11,Veg-S,-3.139852524
19,4.065E+11,Veg-D,-3.139852524
19,5.88838E+11,Veg-Q,-3.139852524
19,7.07883E+11,Veg-P,-3.139852524
19,8.21956E+11,Veg-M,-3.139852524
19,8.77482E+11,Veg-A,-3.139852524
19,9.19285E+11,Veg-R,-3.139852524
20,4.065E+11,Veg-B,-3.139852524
20,5.88838E+11,Veg-D,-3.139852524
20,7.07883E+11,Veg-P,-3.139852524
20,8.21956E+11,Veg-H,-3.139852524
20,8.77482E+11,Veg-P,-3.139852524
20,9.19285E+11,Veg-O,-3.139852524
22,4.065E+11,Veg-R,-3.139852524
22,5.88838E+11,Veg-B,-3.139852524
22,7.07883E+11,Veg-K,-3.139852524
22,8.21956E+11,Veg-K,-3.139852524
22,8.77482E+11,Veg-H,-3.139852524
22,9.19285E+11,Veg-F,-3.139852524
23,1.98199E+11,Veg-L,-3.139852524
23,6.87311E+11,Veg-M,-3.139852524
25,4.065E+11,Veg-S,-3.139852524
25,5.88838E+11,Veg-S,-3.139852524
25,7.07883E+11,Veg-B,-3.139852524
25,8.21956E+11,Veg-R,-3.139852524
25,8.77482E+11,Veg-Q,-3.139852524
25,9.19285E+11,Veg-E,-3.139852524
26,4.065E+11,Veg-N,-3.139852524
26,5.88838E+11,Veg-I,-3.139852524
26,7.07883E+11,Veg-Q,-3.139852524
26,8.21956E+11,Veg-J,-3.139852524
26,8.77482E+11,Veg-N,-3.139852524
26,9.19285E+11,Veg-I,-3.139852524
28,4.065E+11,Veg-P,-3.139852524
28,5.88838E+11,Veg-O,-3.139852524
28,7.07883E+11,Veg-J,-3.139852524
28,8.21956E+11,Veg-A,-3.139852524
28,8.77482E+11,Veg-P,-3.139852524
28,9.19285E+11,Veg-B,-3.139852524
33,4.065E+11,Veg-L,-3.139852524
33,5.88838E+11,Veg-N,-3.139852524
33,7.07883E+11,Veg-R,-3.139852524
33,8.21956E+11,Veg-A,-3.139852524
33,8.77482E+11,Veg-E,-3.139852524
33,9.19285E+11,Veg-M,-3.139852524
34,4.065E+11,Veg-E,-3.139852524
34,5.88838E+11,Veg-B,-3.139852524
34,7.07883E+11,Veg-G,-3.139852524
34,8.21956E+11,Veg-C,-3.139852524
34,8.77482E+11,Veg-G,-3.139852524
34,9.19285E+11,Veg-G,-3.139852524
35,1.98199E+11,Veg-N,-3.139852524
35,6.87311E+11,Veg-H,-3.139852524
40,4.065E+11,Veg-K,-3.139852524
40,5.88838E+11,Veg-P,-3.139852524
40,7.07883E+11,Veg-E,-3.139852524
40,8.21956E+11,Veg-O,-3.139852524
40,8.77482E+11,Veg-B,-3.139852524
40,9.19285E+11,Veg-K,-3.139852524
41,4.065E+11,Veg-P,-3.139852524
41,5.88838E+11,Veg-K,-3.139852524
41,7.07883E+11,Veg-J,-3.139852524
41,8.21956E+11,Veg-E,-3.139852524
41,8.77482E+11,Veg-J,-3.139852524
41,9.19285E+11,Veg-A,-3.139852524
42,1.98199E+11,Veg-I,-3.139852524
42,6.87311E+11,Veg-J,-3.139852524
46,4.065E+11,Veg-P,-3.139852524
46,5.88838E+11,Veg-R,-3.139852524
46,7.07883E+11,Veg-N,-3.139852524
46,8.21956E+11,Veg-R,-3.139852524
46,8.77482E+11,Veg-N,-3.139852524
46,9.19285E+11,Veg-L,-3.139852524
47,4.065E+11,Veg-O,-3.139852524
47,5.88838E+11,Veg-A,-3.139852524
47,7.07883E+11,Veg-R,-3.139852524
47,8.21956E+11,Veg-P,-3.139852524
47,8.77482E+11,Veg-B,-3.139852524
47,9.19285E+11,Veg-E,-3.139852524
48,4.065E+11,Veg-K,-3.139852524
48,5.88838E+11,Veg-R,-3.139852524
48,7.07883E+11,Veg-S,-3.139852524
48,8.21956E+11,Veg-C,-3.139852524
48,8.77482E+11,Veg-H,-3.139852524
48,9.19285E+11,Veg-H,-3.139852524
52,4.065E+11,Veg-G,-3.139852524
52,5.88838E+11,Veg-R,-3.139852524
52,7.07883E+11,Veg-D,-3.139852524
52,8.21956E+11,Veg-A,-3.139852524
52,8.77482E+11,Veg-C,-3.139852524
52,9.19285E+11,Veg-L,-3.139852524
56,4.065E+11,Veg-I,-3.139852524
56,5.88838E+11,Veg-K,-3.139852524
56,7.07883E+11,Veg-D,-3.139852524
56,8.21956E+11,Veg-H,-3.139852524
56,8.77482E+11,Veg-F,-3.139852524
56,9.19285E+11,Veg-C,-3.139852524
